OBJECTID,NUMERO,NOM_LIEU,ADRESSE,ARRONDISSEMENT,HORAIRES,ANNEE,geo_shape,geo_point_2d
27,59,Square Charles-Trenet,31 rue Brillat-Savarin,75013,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.347970091130889, 48.822047061860694]}",48.8220470619, 2.34797009113
30,54,Square Marie-Curie,29 boulevard de l'Hopital,75013,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.363163146586202, 48.84098912553881]}",48.8409891255, 2.36316314659
33,62,Parc Montsouris - Parc a sapins 1,2 rue Gazan,75014,de 7h a 17h45,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.339536232915535, 48.82411197016185]}",48.8241119702, 2.33953623292
40,66,Square du Serment-de-Koufra - Parc a sapins 1,30 avenue Ernest-Reyer,75014,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.324398286801114, 48.8219001826156]}",48.8219001826, 2.3243982868
42,65,Square Georges-Lamarque,1 rue Froidevaux,75014,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.330779109772858, 48.83459862748844]}",48.8345986275, 2.33077910977
52,77,Square de la Porte-de-la-Plaine,16 rue du General-Guillaumat,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.292988487443341, 48.828662349926915]}",48.8286623499, 2.29298848744
59,92,Square Pablo-Casals,49 rue Emeriau,75015,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.286107150033052, 48.84889876122116]}",48.8488987612, 2.28610715003
79,108,Promenade Bernard-Lafay C2,4 rue Raymond-Pitet,75017,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.296808466173234, 48.88985400590022]}",48.8898540059, 2.29680846617
92,117,Square Joel-Le-Tac,3 place Constantin-Pecqueur,75018,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.338158722140272, 48.88926684500232]}",48.889266845, 2.33815872214
96,126,Jardin de l'�lot-Riquet,8 rue du Docteur-Lamaze,75019,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.373351624878692, 48.88963272434125]}",48.8896327243, 2.37335162488
100,129,Parc des Buttes-Chaumont - Parc a sapins 1,1 rue Manin,75019,de 7h a 20h,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.379381077535162, 48.8770640253508]}",48.8770640254, 2.37938107754
101,130,Parc des Buttes-Chaumont - Parc a sapins 2,53 rue Manin,75019,de 7h a 20h,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.380358214158751, 48.88058824929105]}",48.8805882493, 2.38035821416
112,150,Jardin d'immeubles de la Porte-de-Vincennes (partie Sud),115 rue de Lagny,75020,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.413793226127702, 48.849484864906245]}",48.8494848649, 2.41379322613
114,140,Parc de Belleville - Parc a sapins 1,47 rue des Couronnes,75020,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.385134140410516, 48.870541543369754]}",48.8705415434, 2.38513414041
123,2,Square Louvois,69 bis rue de Richelieu,75002,de 8h a 17h15 en semaine et de 9h a 17h15 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.337589467562327, 48.86795627223601]}",48.8679562722, 2.33758946756
126,5,Square Leopold-Achille,5 rue du Parc-Royal,75003,de 8h a 17h30 en semaine et de 9h a 17h30 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.363443355709157, 48.85827503398097]}",48.858275034, 2.36344335571
128,8,Square Barye,2 boulevard Henri-IV,75004,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.359724747335915, 48.85008817041046]}",48.8500881704, 2.35972474734
129,7,Square Henri-Galli,9 boulevard Henri-IV,75004,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.361804099035055, 48.851191901797115]}",48.8511919018, 2.36180409904
139,21,Avenue de Breteuil - Parc a sapins 1,1 avenue de Breteuil,75007,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.31169507033662, 48.848061155078824]}",48.8480611551, 2.31169507034
141,24,Champ de Mars - Parc a sapins 1,Avenue Gustave-Eiffel,75007,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.295149657701566, 48.857791351438834]}",48.8577913514, 2.2951496577
143,26,Champ de Mars - Parc a sapins 3,Avenue Charles-Risler,75007,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.300165666868385, 48.85458971668546]}",48.8545897167, 2.30016566687
144,18,Square Boucicaut,1 rue de Babylone,75007,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.325694298894367, 48.85154822822633]}",48.8515482282, 2.32569429889
152,31,Square Marcel-Pagnol,1 place Henri-Bergson,75008,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.320411426310124, 48.87606209931327]}",48.8760620993, 2.32041142631
154,34,Square d'Anvers,3 place d'Anvers,75009,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.344381632082273, 48.88228877402133]}",48.882288774, 2.34438163208
